identificador,rango,titulo,fecha_publicacion,derogada,url
BOE-A-1998-10727,Real Decreto,"Real Decreto 701/1998, de 24 de abril, por el que se regula el etiquetado energético de las lavadoras-secadoras combinadas domésticas.",19980508,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-10727
BOE-A-1998-11149,Orden,Orden de 4 de mayo de 1998 por la que se regula la Junta Administradora de Vehículos y Maquinaria del Ministerio de Fomento.,19980513,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-11149
BOE-A-1998-11425,Real Decreto,"Real Decreto 926/1998, de 14 de mayo, por el que se regulan los fondos de titulación de activos y las sociedades gestoras de fondos de titulización.",19980515,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-11425
BOE-A-1998-11627,Real Decreto,"Real Decreto 864/1998, de 8 de mayo, por el que se regula el etiquetado energético de los lavavajillas domésticos.",19980519,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-11627
BOE-A-1998-12017,Real Decreto,"Real Decreto 991/1998, de 22 de mayo, por el que se crea el Consejo para las Emisiones y Retransmisiones Deportivas.",19980523,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-12017
BOE-A-1998-12159,Real Decreto,"Real Decreto 930/1998, de 14 de mayo, sobre condiciones generales de idoneidad y titulación de determinadas profesiones de la Marina Mercante y del sector pesquero.",19980526,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-12159
BOE-A-1998-12816,Real Decreto,"Real Decreto 928/1998, de 14 de mayo, por el que se aprueba el Reglamento general sobre procedimientos para la imposición de sanciones por infracciones de orden social y para los expedientes liquidatorios de cuotas de la Seguridad Social.",19980603,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-12816
BOE-A-1998-13072,Orden,Orden de 4 de junio de 1998 por la que se regulan determinados aspectos de la gestión recaudatoria de las tasas que constituyen derechos de la Hacienda Pública.,19980605,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-13072
BOE-A-1998-13082,Real Decreto,"Real Decreto 1062/1998, de 29 de mayo, por el que se establecen los requisitos de rendimiento energético de los frigoríficos, congeladores y aparatos combinados eléctricos de uso doméstico.",19980605,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-13082
BOE-A-1998-13070,Real Decreto,"Real Decreto 862/1998, de 8 de mayo, por el que se aprueba el Reglamento del Instituto de Toxicología.",19980605,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-13070
